iter	RMSE
0	3.021654771
1	2.988872975
2	2.963428051
3	2.948177228
4	2.929266651
5	2.903136134
6	2.881390544
7	2.861326656
8	2.850510417
9	2.833357872
10	2.813545098
11	2.798094865
12	2.787004936
13	2.765621499
14	2.744735343
15	2.715862112
16	2.708294476
17	2.69909037
18	2.689994779
19	2.672596853
20	2.65910114
21	2.649146072
22	2.628251015
23	2.610388737
24	2.595047533
25	2.562030117
26	2.539501133
27	2.523387427
28	2.507172977
29	2.497392545
30	2.48525492
31	2.478229954
32	2.453563995
33	2.436227277
34	2.427413445
35	2.415898934
36	2.400976423
37	2.395086033
38	2.379727257
39	2.363577393
40	2.350857127
41	2.338059099
42	2.328206026
43	2.315896589
44	2.302514202
45	2.288669409
46	2.272796382
47	2.257929981
48	2.238776802
49	2.226071522
50	2.207338354
51	2.200542219
52	2.188455024
53	2.179468438
54	2.163513954
55	2.152638716
56	2.142831389
57	2.122896409
58	2.114844559
59	2.097417008
60	2.093509216
61	2.076948896
62	2.062495104
63	2.043496748
64	2.027234123
65	2.018126426
66	2.00611757
67	1.99564459
68	1.980959029
69	1.968098291
70	1.955202766
71	1.943493991
72	1.938622245
73	1.921388439
74	1.904682635
75	1.89434406
76	1.878675681
77	1.86999562
78	1.859533417
79	1.851083131
80	1.842580109
81	1.835672461
82	1.828279572
83	1.820246239
84	1.813927103
85	1.80506546
86	1.789823965
87	1.787375025
88	1.77073159
89	1.761819584
90	1.750728747
91	1.741698475
92	1.732629485
93	1.727264698
94	1.717254213
95	1.711749994
96	1.700745396
97	1.692039987
98	1.68496909
99	1.682878745
100	1.670225923
101	1.662407559
102	1.65226952
103	1.641797032
104	1.625468899
105	1.623503469
106	1.621618172
107	1.617434734
108	1.60458847
109	1.587238197
110	1.57680547
111	1.566569617
112	1.552978091
113	1.549708874
114	1.540415651
115	1.529191578
116	1.517337706
117	1.51591527
118	1.508834305
119	1.506515826
120	1.500351126
121	1.490619801
122	1.486098547
123	1.473771247
124	1.468956233
125	1.467331234
126	1.460257766
127	1.456956033
128	1.449627003
129	1.446735129
130	1.436399997
131	1.427481206
132	1.423257615
133	1.414720798
134	1.408932052
135	1.404708542
136	1.393854169
137	1.392325639
138	1.383617644
139	1.371256205
140	1.361826462
141	1.359847763
142	1.352223263
143	1.342340775
144	1.339249592
145	1.329870629
146	1.324909562
147	1.32099503
148	1.316677066
149	1.303246471
150	1.296825704
151	1.294268696
152	1.291741818
153	1.282737354
154	1.2780174
155	1.275065912
156	1.265183256
157	1.258612118
158	1.253262764
159	1.245777683
160	1.242364888
161	1.237986174
162	1.234397307
163	1.231935635
164	1.22451058
165	1.218144826
166	1.216988099
167	1.214943301
168	1.210992953
169	1.208040295
170	1.201840775
171	1.199760354
172	1.198727561
173	1.194167191
174	1.183919712
175	1.177383729
176	1.171958382
177	1.169654281
178	1.162898747
179	1.154416232
180	1.15357191
181	1.144801116
182	1.137273081
183	1.131050471
184	1.127640939
185	1.126270027
186	1.121945969
187	1.112383413
188	1.109954535
189	1.10721267
190	1.099130105
191	1.095515626
192	1.087995698
193	1.081058925
194	1.077019118
195	1.073373078
196	1.07163622
197	1.069167187
198	1.057554194
199	1.055092712
