iter	Passed	Remaining
0	119	23825
1	121	11993
2	122	8065
3	123	6060
4	124	4854
5	125	4052
6	126	3487
7	127	3059
8	128	2720
9	129	2455
10	130	2239
11	131	2055
12	132	1905
13	133	1772
14	134	1656
15	135	1556
16	136	1466
17	137	1388
18	138	1318
19	139	1252
20	140	1195
21	141	1142
22	142	1093
23	143	1049
24	144	1008
25	145	971
26	146	936
27	147	903
28	148	872
29	148	842
30	149	815
31	150	789
32	151	766
33	152	743
34	153	721
35	153	701
36	154	682
37	155	664
38	156	647
39	157	630
40	158	615
41	159	600
42	160	586
43	161	572
44	162	559
45	163	547
46	164	534
47	165	522
48	166	513
49	167	502
50	168	492
51	169	482
52	170	472
53	170	462
54	171	452
55	172	443
56	173	435
57	174	426
58	175	418
59	176	410
60	177	403
61	178	396
62	178	389
63	179	382
64	180	375
65	181	368
66	182	362
67	183	356
68	184	350
69	185	344
70	186	338
71	187	332
72	188	327
73	188	321
74	189	316
75	190	311
76	191	306
77	192	301
78	193	296
79	194	291
80	195	286
81	196	282
82	197	277
83	197	273
84	198	269
85	199	265
86	200	260
87	202	257
88	202	253
89	203	249
90	204	245
91	205	241
92	206	237
93	207	234
94	208	230
95	209	226
96	210	223
97	211	219
98	212	216
99	213	213
100	214	209
101	214	206
102	215	203
103	216	200
104	217	197
105	218	193
106	219	191
107	220	188
108	221	185
109	222	182
110	223	179
111	224	176
112	225	173
113	226	170
114	227	167
115	227	165
116	228	162
117	229	159
118	230	156
119	231	154
120	231	151
121	232	148
122	233	146
123	234	143
124	235	141
125	235	138
126	236	136
127	237	133
128	238	131
129	239	128
130	240	126
131	240	124
132	241	121
133	242	119
134	243	117
135	243	114
136	244	112
137	245	110
138	246	108
139	247	105
140	247	103
141	248	101
142	249	99
143	250	97
144	251	95
145	252	93
146	252	91
147	253	89
148	254	87
149	255	85
150	256	83
151	256	81
152	257	79
153	258	77
154	259	75
155	259	73
156	260	71
157	261	69
158	262	67
159	263	65
160	263	63
161	264	62
162	265	60
163	266	58
164	267	56
165	267	54
166	268	53
167	269	51
168	270	49
169	270	47
170	271	46
171	272	44
172	273	42
173	273	40
174	274	39
175	275	37
176	276	35
177	276	34
178	277	32
179	278	30
180	279	29
181	280	27
182	281	26
183	282	24
184	282	22
185	283	21
186	284	19
187	285	18
188	285	16
189	286	15
190	287	13
191	288	12
192	289	10
193	289	8
194	290	7
195	291	5
196	292	4
197	292	2
198	293	1
199	294	0
